"Date","Price","Open","High","Low","Change %"
"12/09/2022","93.74","93.74","93.74","93.74","-1.14%"
"12/08/2022","94.82","94.82","94.82","94.82","-0.30%"
"12/07/2022","95.10","95.10","95.10","95.10","0.41%"
"12/06/2022","94.71","94.71","94.71","94.71","-0.20%"
"12/05/2022","94.90","94.90","94.90","94.90","-1.16%"
"12/02/2022","96.01","96.01","96.01","96.01","0.75%"
"12/01/2022","95.29","95.29","95.29","95.29","0.99%"
"11/30/2022","94.35","94.35","94.35","94.35","2.29%"
"11/29/2022","92.24","92.24","92.24","92.24","-0.67%"
"11/28/2022","92.87","92.87","92.87","92.87","-0.42%"
"11/25/2022","93.26","93.26","93.26","93.26","-0.05%"
"11/23/2022","93.30","93.30","93.30","93.30","0.75%"
"11/22/2022","92.61","92.61","92.61","92.61","0.61%"
"11/21/2022","92.05","92.05","92.05","92.05","0.61%"
"11/18/2022","91.49","91.49","91.49","91.49","-0.80%"
"11/17/2022","92.23","92.23","92.23","92.23","-0.98%"
"11/16/2022","93.14","93.14","93.14","93.14","0.57%"
"11/15/2022","92.62","92.62","92.62","92.62","0.58%"
"11/14/2022","92.09","92.09","92.09","92.09","-0.87%"
"11/10/2022","92.89","92.89","92.89","92.89","2.39%"
"11/09/2022","90.73","90.73","90.73","90.73","-0.27%"
"11/08/2022","90.98","90.98","90.98","90.98","0.52%"
"11/07/2022","90.51","90.51","90.51","90.51","-0.03%"
"11/04/2022","90.53","90.53","90.53","90.53","0.62%"
"11/03/2022","89.98","89.98","89.98","89.98","-1.37%"
"11/02/2022","91.23","91.23","91.23","91.23","-0.58%"
"11/01/2022","91.76","91.76","91.76","91.76","0.03%"
"10/31/2022","91.73","91.73","91.73","91.73","-0.25%"
"10/28/2022","91.95","91.95","91.95","91.95","-0.28%"
"10/27/2022","92.21","92.21","92.21","92.21","0.91%"
"10/26/2022","91.38","91.38","91.38","91.38","0.14%"
"10/25/2022","91.25","91.25","91.25","91.25","0.72%"
"10/24/2022","90.60","90.60","90.60","90.60","0.09%"
"10/21/2022","90.52","90.52","90.52","90.52","0.54%"
"10/20/2022","90.03","90.03","90.03","90.03","-0.35%"
"10/19/2022","90.34","90.34","90.34","90.34","-0.93%"
"10/18/2022","91.19","91.19","91.19","91.19","-0.48%"
"10/17/2022","91.63","91.63","91.63","91.63","0.63%"
"10/14/2022","91.05","91.05","91.05","91.05","-0.09%"
"10/13/2022","91.13","91.13","91.13","91.13","0.03%"
"10/12/2022","91.09","91.09","91.09","91.09","0.17%"
"10/11/2022","90.94","90.94","90.94","90.94","-0.11%"
"10/10/2022","91.04","91.04","91.04","91.04","-0.01%"
"10/07/2022","91.05","91.05","91.05","91.05","0.03%"
"10/06/2022","91.02","91.02","91.02","91.02","-0.66%"
"10/05/2022","91.63","91.63","91.63","91.63","-1.40%"
"10/04/2022","92.92","92.92","92.92","92.92","0.52%"
"10/03/2022","92.44","92.44","92.44","92.44","2.34%"
"09/30/2022","90.32","90.32","90.32","90.32","-0.92%"
"09/29/2022","91.16","91.16","91.16","91.16","-1.74%"
"09/28/2022","92.77","92.77","92.77","92.77","1.95%"
"09/27/2022","91.00","91.00","91.00","91.00","0.11%"
"09/26/2022","90.90","90.90","90.90","90.90","-2.88%"
"09/23/2022","93.59","93.59","93.59","93.59","-0.12%"
"09/22/2022","93.70","93.70","93.70","93.70","-1.32%"
"09/21/2022","94.95","94.95","94.95","94.95","0.06%"
"09/20/2022","94.90","94.90","94.90","94.90","-0.25%"
"09/19/2022","95.13","95.13","95.13","95.13","-0.62%"
"09/16/2022","95.73","95.73","95.73","95.73","-0.62%"
"09/15/2022","96.33","96.33","96.33","96.33","-0.75%"
"09/14/2022","97.05","97.05","97.05","97.05","0.35%"
"09/13/2022","96.72","96.72","96.72","96.72","-0.30%"
"09/12/2022","97.01","97.01","97.01","97.01","-0.46%"
"09/09/2022","97.46","97.46","97.46","97.46","0.17%"
"09/08/2022","97.30","97.30","97.30","97.30","-0.86%"
"09/07/2022","98.14","98.14","98.14","98.14","0.54%"
"09/06/2022","97.62","97.62","97.62","97.62","-1.41%"
"09/02/2022","99.02","99.02","99.02","99.02","0.84%"
"09/01/2022","98.20","98.20","98.20","98.20","-0.91%"
"08/31/2022","99.09","99.09","99.09","99.09","-1.49%"
"08/30/2022","100.59","100.59","100.59","100.59","-0.19%"
"08/29/2022","100.78","100.78","100.78","100.78","-0.87%"
"08/26/2022","101.66","101.66","101.66","101.66","-0.27%"
"08/25/2022","101.94","101.94","101.94","101.94","0.52%"
"08/24/2022","101.41","101.41","101.41","101.41","-0.06%"
"08/23/2022","101.47","101.47","101.47","101.47","-0.12%"
"08/22/2022","101.59","101.59","101.59","101.59","-0.32%"
"08/19/2022","101.91","101.91","101.91","101.91","-0.49%"
"08/18/2022","102.41","102.41","102.41","102.41","0.61%"
"08/17/2022","101.79","101.79","101.79","101.79","-0.70%"
"08/16/2022","102.51","102.51","102.51","102.51","-0.15%"
"08/15/2022","102.66","102.66","102.66","102.66","0.18%"
"08/12/2022","102.48","102.48","102.48","102.48","0.41%"
"08/11/2022","102.05","102.05","102.05","102.05","-0.61%"
"08/10/2022","102.68","102.68","102.68","102.68","-0.27%"
"08/09/2022","102.95","102.95","102.95","102.95","-0.36%"
"08/08/2022","103.33","103.33","103.33","103.33","0.71%"
"08/05/2022","102.60","102.60","102.60","102.60","-1.10%"
"08/04/2022","103.74","103.74","103.74","103.74","-0.16%"
"08/03/2022","103.91","103.91","103.91","103.91","0.49%"
"08/02/2022","103.40","103.40","103.40","103.40","-1.80%"
"08/01/2022","105.29","105.29","105.29","105.29","0.22%"
"07/29/2022","105.05","105.05","105.05","105.05","0.64%"
"07/28/2022","104.39","104.39","104.39","104.39","1.47%"
"07/27/2022","102.88","102.88","102.88","102.88","1.13%"
"07/26/2022","101.73","101.73","101.73","101.73","0.04%"
"07/25/2022","101.69","101.69","101.69","101.69","-0.34%"
"07/22/2022","102.04","102.04","102.04","102.04","6.45%"
"07/21/2022","95.86","95.86","95.86","95.86","0.75%"
"07/20/2022","95.15","95.15","95.15","95.15","-0.12%"
"07/19/2022","95.27","95.27","95.27","95.27","-0.17%"
"07/18/2022","95.43","95.43","95.43","95.43","-0.51%"
"07/15/2022","95.91","95.91","95.91","95.91","0.46%"
